Kieth Ritter,Auburn,NY,(296) 568-2248,7998 South Morris Ave. 
Kelsey Barr,Baldwinsville,NY,(781) 883-0277,8798 Ketch Harbour St. 
Deon Lynn,Rome,NY,(338) 532-3785,27 Hilltop Avenue 
Chuck Preston,Depew,NY,(612) 997-2995,7324 Arcadia Lane 
Fannie Barry,Hilliard,OH,(885) 517-2001,9300 Arnold Drive 
Mack Greene,Marysville,OH,(493) 665-9027,839 W. St Louis St. 
Colette Stephens,Galloway,OH,(882) 299-4182,7444 Van Dyke Lane 
Sherwood Dodson,Grove City,OH,(705) 727-8795,3 Heritage Drive 
Reed Koch,Pickerington,OH,(844) 530-0210,8082 E. Wentworth St. 
Tanner Cochran,Avon Lake,OH,(562) 452-3865,98 W. Augusta St. 
Ron Chase,Kent,OH,(626) 928-1133,33 Somerset Lane 
Steven Bell,Wadsworth,OH,(467) 410-2349,24 Riverview Street 
Guillermo Faulkner,Akron,OH,(707) 234-2673,77 Talbot Drive 
Sammy Gay,Youngstown,OH,(460) 801-8580,7239 10th St. 
Rudolph Dougherty,Massillon,OH,(606) 682-2572,9191 West Rockledge St. 
Jarod Hartman,Maineville,OH,(589) 621-5936,7591 Edgewood St. 
Susan Banks,Loveland,OH,(992) 858-1865,55 Olive Lane 
Casandra Carey,Sidney,OH,(509) 905-3013,340 Roehampton Drive 
David Hines,Bethel Park,PA,(697) 360-1812,378 Hillcrest Ave. 
Brant Diaz,Greensburg,PA,(895) 556-1918,641 Arcadia Street 
Darrel Rogers,Latrobe,PA,(762) 999-6542,8993 Trout Ave. 
Clare Church,Carlisle,PA,(597) 487-8499,9317 Pine St. 
Marissa Barrett,Hanover,PA,(684) 589-3377,8398 Johnson Ave. 
Liz Novak,Lititz,PA,(613) 537-8414,152 Trenton Drive 
Doug Fox,Nazareth,PA,(704) 283-7241,303 Green Ave. 
Edgar Kirby,Allentown,PA,(844) 708-2525,9757 Trenton St. 
Laurence Matthews,Perkasie,PA,(744) 249-3411,6 Greystone Court 
Brenda Collier,Malvern,PA,(600) 471-1508,36 Willow Court 
Alissa Cooley,Harleysville,PA,(246) 504-4550,654 West Marlborough Avenue 
Claudia Wilson,Lansdale,PA,(906) 310-8783,98 Piper Ave. 
Josh Wilkins,Pawtucket,RI,(816) 496-4208,923 Greenview Ave. 
Mable Casey,West Warwick,RI,(456) 928-1269,9251 Constitution Lane 
Joan Avila,Providence,RI,(870) 390-2817,9163 Kent Dr. 
Earnestine Durham,Cranston,RI,(693) 325-9742,598 Railroad Lane 
Domenic Castillo,Charleston,SC,(971) 977-0988,46 Cobblestone St. 
Jannie Forbes,Summerville,SC,(753) 649-8116,54 Littleton Ave. 
Abdul Savage,Greer,SC,(748) 747-6275,8446 East Alton Drive 
Moises Stout,Fort Mill,SC,(339) 574-9665,89 NE. Kent Court 
Erich Jensen,Sioux Falls,SD,(904) 561-8731,801 Bayport Rd. 
Napoleon Lara,Murfreesboro,TN,(962) 837-1659,9692 NW. Westport Dr. 
Jeanine Larsen,Johnson City,TN,(332) 622-4250,9 Atlantic Street 
Winston Mathews,Richardson,TX,(884) 682-5478,110 Mayflower St. 
Emmitt Macdonald,Longview,TX,(869) 687-9435,63 North 53rd Street 
Fran Fletcher,Victoria,TX,(388) 934-3495,9031 North Surrey St. 
Claudio Day,Salt Lake City,UT,(570) 875-5310,182 East Laurel Rd. 
Kenton Buchanan,Ogden,UT,(946) 733-5341,73 Snake Hill Ave. 
Jeannette Wood,Ashburn,VA,(914) 777-5907,7026 Ohio Street 
Caitlin Abbott,Leesburg,VA,(804) 566-0317,7431 Church Ave. 
Cheri Aguirre,Harrisonburg,VA,(243) 253-2000,531 West Tailwater St. 
Angela Miller,Newport News,VA,(647) 548-1095,3 Taylor St. 
Penny Newton,Yorktown,VA,(371) 501-4209,359 Pierce Lane 
Elisha Vaughn,Portsmouth,VA,(673) 973-3658,5 Bow Ridge Ave. 
Sidney Sharp,Hopewell,VA,(454) 506-6572,416 4th St. 
Val Schmitt,Christiansburg,VA,(561) 832-0847,872 Green Lane 
Hugh Downs,Olympia,WA,(592) 861-8626,157 North Belmont St. 
Fredrick Hickman,Moses Lake,WA,(639) 907-4526,10 Linda St. 
Roderick Friedman,Pewaukee,WI,(838) 998-8277,30 Broad Circle 
Dona Rosales,West Bend,WI,(771) 218-2307,973 Rock Maple Lane 
Kaitlin Lucas,De Pere,WI,(787) 907-1251,7427 Cypress Avenue 
Eunice Alvarez,La Crosse,WI,(744) 586-3499,712 Glenridge Lane 
Simon Case,Neenah,WI,(722) 803-2624,7669 Windsor Court 
Ambrose Bush,Beckley,WV,(729) 226-7164,183 Oklahoma St. 
