West New York,NJ,7093,514 Charles St. 
Newark,NJ,7103,31 Marvon St. 
Fair Lawn,NJ,7410,281 Green Street 
Little Falls,NJ,7424,9343 Main St. 
Mahwah,NJ,7430,543 Nicolls Street 
Freehold,NJ,7728,98 Thomas St. 
Cherry Hill,NJ,8003,8857 Atlantic St. 
Sewell,NJ,8080,7205 Summit Dr. 
Toms River,NJ,8753,9184 Delaware St. 
Flemington,NJ,8822,216 Marconi Drive 
Phillipsburg,NJ,8865,8178 County Street 
Monsey,NY,10952,82 Rocky River Ave. 
New Hyde Park,NY,11040,9267 Glendale Dr. 
Bayside,NY,11361,852 Old Court Rd. 
Woodside,NY,11377,980 St Paul St. 
Maspeth,NY,11378,7774 Glenwood Drive 
Saint Albans,NY,11412,921 Peachtree Drive 
Howard Beach,NY,11414,715 S. 8th Dr. 
South Richmond Hill,NY,11419,454 James Dr. 
Jamaica,NY,11432,8494 E. Sheffield St. 
Oceanside,NY,11572,56 Randall Mill Ave. 
West Babylon,NY,11704,77 Leatherwood Ave. 
Farmingdale,NY,11735,22 Coffee Rd. 
Huntington Station,NY,11746,9789 Maple Lane 
New Windsor,NY,12553,82 Military St. 
Auburn,NY,13021,7998 South Morris Ave. 
Baldwinsville,NY,13027,8798 Ketch Harbour St. 
Rome,NY,13440,27 Hilltop Avenue 
Depew,NY,14043,7324 Arcadia Lane 
Hilliard,OH,43026,9300 Arnold Drive 
Marysville,OH,43040,839 W. St Louis St. 
Galloway,OH,43119,7444 Van Dyke Lane 
Grove City,OH,43123,3 Heritage Drive 
Pickerington,OH,43147,8082 E. Wentworth St. 
Avon Lake,OH,44012,98 W. Augusta St. 
Kent,OH,44240,33 Somerset Lane 
Wadsworth,OH,44281,24 Riverview Street 
Akron,OH,44312,77 Talbot Drive 
Youngstown,OH,44512,7239 10th St. 
Massillon,OH,44646,9191 West Rockledge St. 
Maineville,OH,45039,7591 Edgewood St. 
Loveland,OH,45140,55 Olive Lane 
Sidney,OH,45365,340 Roehampton Drive 
Bethel Park,PA,15102,378 Hillcrest Ave. 
Greensburg,PA,15601,641 Arcadia Street 
Latrobe,PA,15650,8993 Trout Ave. 
Carlisle,PA,17013,9317 Pine St. 
Hanover,PA,17331,8398 Johnson Ave. 
Lititz,PA,17543,152 Trenton Drive 
Nazareth,PA,18064,303 Green Ave. 
Allentown,PA,18102,9757 Trenton St. 
Perkasie,PA,18944,6 Greystone Court 
Malvern,PA,19355,36 Willow Court 
Harleysville,PA,19438,654 West Marlborough Avenue 
Lansdale,PA,19446,98 Piper Ave. 
Pawtucket,RI,2860,923 Greenview Ave. 
West Warwick,RI,2893,9251 Constitution Lane 
Providence,RI,2904,9163 Kent Dr. 
Cranston,RI,2920,598 Railroad Lane 
Charleston,SC,29406,46 Cobblestone St. 
Summerville,SC,29483,54 Littleton Ave. 
Greer,SC,29650,8446 East Alton Drive 
Fort Mill,SC,29708,89 NE. Kent Court 
Sioux Falls,SD,57103,801 Bayport Rd. 
Murfreesboro,TN,37128,9692 NW. Westport Dr. 
Johnson City,TN,37601,9 Atlantic Street 
Richardson,TX,75080,110 Mayflower St. 
Longview,TX,75604,63 North 53rd Street 
Victoria,TX,77904,9031 North Surrey St. 
Salt Lake City,UT,84119,182 East Laurel Rd. 
Ogden,UT,84404,73 Snake Hill Ave. 
Ashburn,VA,20147,7026 Ohio Street 
Leesburg,VA,20175,7431 Church Ave. 
Harrisonburg,VA,22801,531 West Tailwater St. 
Newport News,VA,23601,3 Taylor St. 
Yorktown,VA,23693,359 Pierce Lane 
Portsmouth,VA,23703,5 Bow Ridge Ave. 
Hopewell,VA,23860,416 4th St. 
Christiansburg,VA,24073,872 Green Lane 
Olympia,WA,98512,157 North Belmont St. 
Moses Lake,WA,98837,10 Linda St. 
Pewaukee,WI,53072,30 Broad Circle 
West Bend,WI,53095,973 Rock Maple Lane 
De Pere,WI,54115,7427 Cypress Avenue 
La Crosse,WI,54601,712 Glenridge Lane 
Neenah,WI,54956,7669 Windsor Court 
Beckley,WV,25801,183 Oklahoma St. 
